[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#126] 1.617-1.618: YC 164844KB->164883KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#127] 1.618-1.618: YC 164908KB->164948KB (233624KB), 0.001 s, sum of pauses 0.557 ms, longest pause 0.557 ms.
[INFO ][memory ] [YC#128] 1.619-1.619: YC 164972KB->165011KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#129] 1.619-1.620: YC 165036KB->165076KB (233624KB), 0.001 s, sum of pauses 0.683 ms, longest pause 0.683 ms.
[INFO ][memory ] [YC#130] 1.620-1.621: YC 165100KB->165139KB (233624KB), 0.001 s, sum of pauses 0.539 ms, longest pause 0.539 ms.
[INFO ][memory ] [YC#131] 1.621-1.621: YC 165164KB->165204KB (233624KB), 0.001 s, sum of pauses 0.549 ms, longest pause 0.549 ms.
[INFO ][memory ] [YC#132] 1.621-1.622: YC 165228KB->165267KB (233624KB), 0.001 s, sum of pauses 0.540 ms, longest pause 0.540 ms.
[INFO ][memory ] [YC#133] 1.622-1.623: YC 165292KB->165332KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#134] 1.623-1.623: YC 165356KB->165395KB (233624KB), 0.001 s, sum of pauses 0.563 ms, longest pause 0.563 ms.
[INFO ][memory ] [YC#135] 1.623-1.624: YC 165420KB->165460KB (233624KB), 0.001 s, sum of pauses 0.545 ms, longest pause 0.545 ms.
