[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#131] 2.535-2.536: YC 165426KB->165465KB (233632KB), 0.001 s, sum of pauses 0.611 ms, longest pause 0.611 ms.
[INFO ][memory ] [YC#132] 2.536-2.536: YC 165490KB->165529KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#133] 2.537-2.537: YC 165554KB->165593KB (233632KB), 0.001 s, sum of pauses 0.599 ms, longest pause 0.599 ms.
[INFO ][memory ] [YC#134] 2.537-2.538: YC 165618KB->165657KB (233632KB), 0.001 s, sum of pauses 0.593 ms, longest pause 0.593 ms.
[INFO ][memory ] [YC#135] 2.538-2.539: YC 165682KB->165721KB (233632KB), 0.001 s, sum of pauses 0.597 ms, longest pause 0.597 ms.
[INFO ][memory ] [YC#136] 2.539-2.539: YC 165746KB->165785KB (233632KB), 0.001 s, sum of pauses 0.611 ms, longest pause 0.611 ms.
[INFO ][memory ] [YC#137] 2.540-2.540: YC 165810KB->165849KB (233632KB), 0.001 s, sum of pauses 0.656 ms, longest pause 0.656 ms.
[INFO ][memory ] [YC#138] 2.540-2.541: YC 165874KB->165913KB (233632KB), 0.001 s, sum of pauses 0.634 ms, longest pause 0.634 ms.
[INFO ][memory ] [YC#139] 2.541-2.542: YC 165938KB->165977KB (233632KB), 0.001 s, sum of pauses 0.742 ms, longest pause 0.742 ms.
[INFO ][memory ] [YC#140] 2.542-2.543: YC 166002KB->166041KB (233632KB), 0.001 s, sum of pauses 1.108 ms, longest pause 1.108 ms.
[INFO ][memory ] [YC#141] 2.543-2.544: YC 166066KB->166105KB (233632KB), 0.001 s, sum of pauses 0.953 ms, longest pause 0.953 ms.
[INFO ][memory ] [YC#142] 2.544-2.545: YC 166130KB->166169KB (233632KB), 0.001 s, sum of pauses 0.607 ms, longest pause 0.607 ms.
[INFO ][memory ] [YC#143] 2.545-2.546: YC 166194KB->166233KB (233632KB), 0.001 s, sum of pauses 0.597 ms, longest pause 0.597 ms.
[INFO ][memory ] [YC#144] 2.546-2.547: YC 166258KB->166297KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#145] 2.547-2.547: YC 166322KB->166361KB (233632KB), 0.001 s, sum of pauses 0.645 ms, longest pause 0.645 ms.
[INFO ][memory ] [YC#146] 2.547-2.548: YC 166386KB->166489KB (233632KB), 0.001 s, sum of pauses 0.620 ms, longest pause 0.620 ms.
[INFO ][memory ] [YC#147] 2.548-2.549: YC 166514KB->166553KB (233632KB), 0.001 s, sum of pauses 0.601 ms, longest pause 0.601 ms.
[INFO ][memory ] [YC#148] 2.549-2.550: YC 166578KB->166617KB (233632KB), 0.001 s, sum of pauses 0.778 ms, longest pause 0.778 ms.
[INFO ][memory ] [YC#149] 2.550-2.551: YC 166642KB->166681KB (233632KB), 0.001 s, sum of pauses 0.614 ms, longest pause 0.614 ms.
[INFO ][memory ] [YC#150] 2.551-2.551: YC 166706KB->166745KB (233632KB), 0.001 s, sum of pauses 0.666 ms, longest pause 0.666 ms.
[INFO ][memory ] [YC#151] 2.551-2.552: YC 166770KB->166809KB (233632KB), 0.001 s, sum of pauses 0.601 ms, longest pause 0.601 ms.
