[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#96] 1.567-1.567: YC 166892KB->166995KB (233624KB), 0.001 s, sum of pauses 0.614 ms, longest pause 0.614 ms.
[INFO ][memory ] [YC#97] 1.567-1.568: YC 167020KB->167060KB (233624KB), 0.001 s, sum of pauses 0.570 ms, longest pause 0.570 ms.
[INFO ][memory ] [YC#98] 1.568-1.569: YC 167084KB->167187KB (233624KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#99] 1.569-1.569: YC 167212KB->167316KB (233624KB), 0.001 s, sum of pauses 0.586 ms, longest pause 0.586 ms.
[INFO ][memory ] [YC#100] 1.570-1.570: YC 167340KB->167443KB (233624KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#101] 1.570-1.571: YC 167468KB->167572KB (233624KB), 0.001 s, sum of pauses 0.595 ms, longest pause 0.595 ms.
[INFO ][memory ] [YC#102] 1.571-1.572: YC 167596KB->167699KB (233624KB), 0.001 s, sum of pauses 0.586 ms, longest pause 0.586 ms.
[INFO ][memory ] [YC#103] 1.573-1.573: YC 167724KB->167828KB (233624KB), 0.001 s, sum of pauses 0.590 ms, longest pause 0.590 ms.
[INFO ][memory ] [YC#104] 1.573-1.574: YC 167852KB->167891KB (233624KB), 0.001 s, sum of pauses 0.572 ms, longest pause 0.572 ms.
[INFO ][memory ] [YC#105] 1.574-1.575: YC 167916KB->168020KB (233624KB), 0.001 s, sum of pauses 0.603 ms, longest pause 0.603 ms.
[INFO ][memory ] [YC#106] 1.575-1.575: YC 168044KB->168147KB (233624KB), 0.001 s, sum of pauses 0.590 ms, longest pause 0.590 ms.
[INFO ][memory ] [YC#107] 1.575-1.576: YC 168172KB->168276KB (233624KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#108] 1.576-1.577: YC 168300KB->168403KB (233624KB), 0.001 s, sum of pauses 0.589 ms, longest pause 0.589 ms.
[INFO ][memory ] [YC#109] 1.577-1.577: YC 168428KB->168532KB (233624KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#110] 1.578-1.578: YC 168556KB->168659KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#111] 1.578-1.579: YC 168684KB->168788KB (233624KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#112] 1.579-1.580: YC 168812KB->168915KB (233624KB), 0.001 s, sum of pauses 0.601 ms, longest pause 0.601 ms.
[INFO ][memory ] [YC#113] 1.580-1.580: YC 168940KB->168980KB (233624KB), 0.001 s, sum of pauses 0.576 ms, longest pause 0.576 ms.
[INFO ][memory ] [YC#114] 1.580-1.581: YC 169004KB->169043KB (233624KB), 0.001 s, sum of pauses 0.572 ms, longest pause 0.572 ms.
[INFO ][memory ] [YC#115] 1.581-1.582: YC 169068KB->169172KB (233624KB), 0.001 s, sum of pauses 0.661 ms, longest pause 0.661 ms.
[INFO ][memory ] [YC#116] 1.582-1.583: YC 169196KB->169235KB (233624KB), 0.002 s, sum of pauses 0.597 ms, longest pause 0.597 ms.
[INFO ][memory ] [YC#117] 1.584-1.584: YC 169260KB->169364KB (233624KB), 0.001 s, sum of pauses 0.591 ms, longest pause 0.591 ms.
[INFO ][memory ] [YC#118] 1.584-1.585: YC 169388KB->169491KB (233624KB), 0.001 s, sum of pauses 0.595 ms, longest pause 0.595 ms.
[INFO ][memory ] [YC#119] 1.585-1.586: YC 169516KB->169620KB (233624KB), 0.001 s, sum of pauses 0.554 ms, longest pause 0.554 ms.
[INFO ][memory ] [YC#120] 1.586-1.586: YC 169644KB->169747KB (233624KB), 0.001 s, sum of pauses 0.588 ms, longest pause 0.588 ms.
[INFO ][memory ] [YC#121] 1.586-1.587: YC 169772KB->169876KB (233624KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#122] 1.587-1.588: YC 169900KB->170003KB (233624KB), 0.001 s, sum of pauses 0.585 ms, longest pause 0.585 ms.
[INFO ][memory ] [YC#123] 1.588-1.588: YC 170028KB->170132KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#124] 1.589-1.589: YC 170156KB->170195KB (233624KB), 0.001 s, sum of pauses 0.576 ms, longest pause 0.576 ms.
[INFO ][memory ] [YC#125] 1.589-1.590: YC 170220KB->170324KB (233624KB), 0.001 s, sum of pauses 0.597 ms, longest pause 0.597 ms.
[INFO ][memory ] [YC#126] 1.590-1.591: YC 170348KB->170451KB (233624KB), 0.001 s, sum of pauses 0.588 ms, longest pause 0.588 ms.
[INFO ][memory ] [YC#127] 1.591-1.591: YC 170476KB->170580KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#128] 1.591-1.592: YC 170604KB->170707KB (233624KB), 0.001 s, sum of pauses 0.601 ms, longest pause 0.601 ms.
[INFO ][memory ] [YC#129] 1.592-1.593: YC 170732KB->170836KB (233624KB), 0.001 s, sum of pauses 0.603 ms, longest pause 0.603 ms.
[INFO ][memory ] [YC#130] 1.593-1.594: YC 170860KB->170963KB (233624KB), 0.002 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#131] 1.595-1.595: YC 170988KB->171092KB (233624KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#132] 1.595-1.596: YC 171116KB->171219KB (233624KB), 0.001 s, sum of pauses 0.589 ms, longest pause 0.589 ms.
[INFO ][memory ] [YC#133] 1.596-1.597: YC 171244KB->171348KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#134] 1.597-1.597: YC 171372KB->171475KB (233624KB), 0.001 s, sum of pauses 0.600 ms, longest pause 0.600 ms.
[INFO ][memory ] [YC#135] 1.597-1.598: YC 171500KB->171604KB (233624KB), 0.001 s, sum of pauses 0.588 ms, longest pause 0.588 ms.
[INFO ][memory ] [YC#136] 1.598-1.599: YC 171628KB->171731KB (233624KB), 0.001 s, sum of pauses 0.601 ms, longest pause 0.601 ms.
[INFO ][memory ] [YC#137] 1.599-1.599: YC 171756KB->171860KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#138] 1.600-1.600: YC 171884KB->171987KB (233624KB), 0.001 s, sum of pauses 0.607 ms, longest pause 0.607 ms.
[INFO ][memory ] [YC#139] 1.600-1.601: YC 172012KB->172116KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#140] 1.601-1.602: YC 172140KB->172243KB (233624KB), 0.001 s, sum of pauses 0.588 ms, longest pause 0.588 ms.
[INFO ][memory ] [YC#141] 1.602-1.602: YC 172268KB->172372KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#142] 1.602-1.603: YC 172396KB->172435KB (233624KB), 0.001 s, sum of pauses 0.575 ms, longest pause 0.575 ms.
[INFO ][memory ] [YC#143] 1.603-1.604: YC 172460KB->172564KB (233624KB), 0.001 s, sum of pauses 0.603 ms, longest pause 0.603 ms.
[INFO ][memory ] [YC#144] 1.604-1.605: YC 172588KB->172691KB (233624KB), 0.002 s, sum of pauses 0.591 ms, longest pause 0.591 ms.
[INFO ][memory ] [YC#145] 1.606-1.606: YC 172716KB->172756KB (233624KB), 0.001 s, sum of pauses 0.633 ms, longest pause 0.633 ms.
[INFO ][memory ] [YC#146] 1.606-1.607: YC 172780KB->172883KB (233624KB), 0.001 s, sum of pauses 0.624 ms, longest pause 0.624 ms.
[INFO ][memory ] [YC#147] 1.607-1.608: YC 172908KB->173012KB (233624KB), 0.001 s, sum of pauses 0.603 ms, longest pause 0.603 ms.
[INFO ][memory ] [YC#148] 1.608-1.608: YC 173036KB->173075KB (233624KB), 0.001 s, sum of pauses 0.549 ms, longest pause 0.549 ms.
[INFO ][memory ] [YC#149] 1.608-1.609: YC 173100KB->173204KB (233624KB), 0.001 s, sum of pauses 0.585 ms, longest pause 0.585 ms.
[INFO ][memory ] [YC#150] 1.609-1.610: YC 173228KB->173331KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#151] 1.610-1.611: YC 173356KB->173460KB (233624KB), 0.001 s, sum of pauses 0.612 ms, longest pause 0.612 ms.
