[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#136] 1.742-1.743: YC 165356KB->165395KB (233624KB), 0.001 s, sum of pauses 0.826 ms, longest pause 0.826 ms.
[INFO ][memory ] [YC#137] 1.743-1.743: YC 165420KB->165459KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#138] 1.743-1.744: YC 165484KB->165523KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#139] 1.744-1.744: YC 165548KB->165587KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#140] 1.745-1.745: YC 165612KB->165651KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#141] 1.745-1.746: YC 165676KB->165715KB (233624KB), 0.001 s, sum of pauses 0.544 ms, longest pause 0.544 ms.
[INFO ][memory ] [YC#142] 1.746-1.746: YC 165740KB->165779KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#143] 1.747-1.748: YC 165804KB->165907KB (233624KB), 0.001 s, sum of pauses 1.412 ms, longest pause 1.412 ms.
[INFO ][memory ] [YC#144] 1.748-1.749: YC 165932KB->165971KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#145] 1.749-1.749: YC 165996KB->166035KB (233624KB), 0.001 s, sum of pauses 0.531 ms, longest pause 0.531 ms.
[INFO ][memory ] [YC#146] 1.749-1.750: YC 166060KB->166099KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#147] 1.750-1.751: YC 166124KB->166227KB (233624KB), 0.001 s, sum of pauses 0.555 ms, longest pause 0.555 ms.
[INFO ][memory ] [YC#148] 1.751-1.751: YC 166252KB->166291KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#149] 1.751-1.752: YC 166316KB->166355KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#150] 1.752-1.753: YC 166380KB->166419KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#151] 1.753-1.753: YC 166444KB->166483KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
